Entity,Entity_0,Entity_1,Entity_2,Entity_3,Entity_4,Entity_5,Entity_6
Algeria,0,0,0,0,0,0,1
Argentina,0,0,0,0,0,1,0
Armenia,0,0,0,0,0,1,1
Australia,0,0,0,0,1,0,0
Austria,0,0,0,0,1,0,1
Azerbaijan,0,0,0,0,1,1,0
Bahrain,0,0,0,0,1,1,1
Bangladesh,0,0,0,1,0,0,0
Belarus,0,0,0,1,0,0,1
Belgium,0,0,0,1,0,1,0
Benin,0,0,0,1,0,1,1
Brazil,0,0,0,1,1,0,0
Bulgaria,0,0,0,1,1,0,1
Burkina Faso,0,0,0,1,1,1,0
Cambodia,0,0,0,1,1,1,1
Canada,0,0,1,0,0,0,0
Chad,0,0,1,0,0,0,1
Chile,0,0,1,0,0,1,0
China,0,0,1,0,0,1,1
Colombia,0,0,1,0,1,0,0
Costa Rica,0,0,1,0,1,0,1
Cote d'Ivoire,0,0,1,0,1,1,0
Croatia,0,0,1,0,1,1,1
Cyprus,0,0,1,1,0,0,0
Czechia,0,0,1,1,0,0,1
Democratic Republic of Congo,0,0,1,1,0,1,0
Denmark,0,0,1,1,0,1,1
Dominican Republic,0,0,1,1,1,0,0
Ecuador,0,0,1,1,1,0,1
Egypt,0,0,1,1,1,1,0
Estonia,0,0,1,1,1,1,1
Ethiopia,0,1,0,0,0,0,0
Fiji,0,1,0,0,0,0,1
Finland,0,1,0,0,0,1,0
France,0,1,0,0,0,1,1
Gambia,0,1,0,0,1,0,0
Georgia,0,1,0,0,1,0,1
Germany,0,1,0,0,1,1,0
Ghana,0,1,0,0,1,1,1
Greece,0,1,0,1,0,0,0
Guinea-Bissau,0,1,0,1,0,0,1
Guyana,0,1,0,1,0,1,0
Hungary,0,1,0,1,0,1,1
India,0,1,0,1,1,0,0
Iraq,0,1,0,1,1,0,1
Ireland,0,1,0,1,1,1,0
Israel,0,1,0,1,1,1,1
Italy,0,1,1,0,0,0,0
Japan,0,1,1,0,0,0,1
Jordan,0,1,1,0,0,1,0
Kenya,0,1,1,0,0,1,1
Kuwait,0,1,1,0,1,0,0
Kyrgyzstan,0,1,1,0,1,0,1
Laos,0,1,1,0,1,1,0
Latvia,0,1,1,0,1,1,1
Lebanon,0,1,1,1,0,0,0
Lesotho,0,1,1,1,0,0,1
Lithuania,0,1,1,1,0,1,0
Luxembourg,0,1,1,1,0,1,1
Madagascar,0,1,1,1,1,0,0
Malawi,0,1,1,1,1,0,1
Malaysia,0,1,1,1,1,1,0
Mali,0,1,1,1,1,1,1
Malta,1,0,0,0,0,0,0
Mexico,1,0,0,0,0,0,1
Mongolia,1,0,0,0,0,1,0
Morocco,1,0,0,0,0,1,1
Myanmar,1,0,0,0,1,0,0
Nepal,1,0,0,0,1,0,1
Netherlands,1,0,0,0,1,1,0
New Zealand,1,0,0,0,1,1,1
Niger,1,0,0,1,0,0,0
Nigeria,1,0,0,1,0,0,1
Norway,1,0,0,1,0,1,0
Paraguay,1,0,0,1,0,1,1
Peru,1,0,0,1,1,0,0
Philippines,1,0,0,1,1,0,1
Poland,1,0,0,1,1,1,0
Portugal,1,0,0,1,1,1,1
Qatar,1,0,1,0,0,0,0
Romania,1,0,1,0,0,0,1
Russia,1,0,1,0,0,1,0
Sao Tome and Principe,1,0,1,0,0,1,1
Saudi Arabia,1,0,1,0,1,0,0
Senegal,1,0,1,0,1,0,1
Serbia,1,0,1,0,1,1,0
Sierra Leone,1,0,1,0,1,1,1
Slovakia,1,0,1,1,0,0,0
Slovenia,1,0,1,1,0,0,1
South Africa,1,0,1,1,0,1,0
South Korea,1,0,1,1,0,1,1
Spain,1,0,1,1,1,0,0
Sweden,1,0,1,1,1,0,1
Switzerland,1,0,1,1,1,1,0
Tanzania,1,0,1,1,1,1,1
Thailand,1,1,0,0,0,0,0
Togo,1,1,0,0,0,0,1
Tunisia,1,1,0,0,0,1,0
Turkey,1,1,0,0,0,1,1
Uganda,1,1,0,0,1,0,0
Ukraine,1,1,0,0,1,0,1
United Kingdom,1,1,0,0,1,1,0
United States,1,1,0,0,1,1,1
Uzbekistan,1,1,0,1,0,0,0
Vietnam,1,1,0,1,0,0,1
Zimbabwe,1,1,0,1,0,1,0
